product_id,sku,product_name,category,status,base_price_min,base_price_max,currency,standard_moq,trial_moq,sample_available,sample_lead_time_days,mass_production_lead_time_days,oem_supported,odm_supported,logo_customization,color_customization,packaging_customization,certifications,supported_markets,specs_json
P001,GM49-TM-PRO,FeatherStrike 49 Pro,gaming_mouse,active,21.5,27.0,USD,500,100,true,5,28,true,true,true,true,true,"CE,FCC,RoHS","EU,US,UK","{""connection_type"":""Tri-mode"",""sensor_model"":""PAW3395"",""max_dpi"":26000,""polling_rate"":""4K"",""weight_grams"":49,""switch_type"":""Optical"",""button_count"":6,""battery_capacity"":""500mAh"",""shape"":""Symmetrical"",""rgb"":0,""software_support"":1}"
P002,GM58-TM-8K,VectorAim 58 8K,gaming_mouse,active,24.0,31.0,USD,500,100,true,5,30,true,true,true,true,true,"CE,FCC,RoHS","EU,US,UK,JP","{""connection_type"":""Tri-mode"",""sensor_model"":""PAW3395"",""max_dpi"":26000,""polling_rate"":""8K"",""weight_grams"":58,""switch_type"":""Optical"",""button_count"":6,""battery_capacity"":""600mAh"",""shape"":""Symmetrical"",""rgb"":1,""software_support"":1}"
P003,GM72-W-3370,CoreGrip 72 Wireless,gaming_mouse,active,14.0,18.5,USD,300,80,true,4,24,true,false,true,true,true,"CE,FCC,RoHS","EU,US,UK","{""connection_type"":""2.4G"",""sensor_model"":""PAW3370"",""max_dpi"":19000,""polling_rate"":""1K"",""weight_grams"":72,""switch_type"":""Mechanical"",""button_count"":6,""battery_capacity"":""500mAh"",""shape"":""Ergonomic"",""rgb"":1,""software_support"":1}"
P004,GM85-WIRED-RGB,TitanClick RGB,gaming_mouse,active,8.5,11.5,USD,300,100,true,3,20,true,false,true,true,true,"CE,FCC,RoHS","EU,US,UK","{""connection_type"":""Wired"",""sensor_model"":""PAW3327"",""max_dpi"":12000,""polling_rate"":""1K"",""weight_grams"":85,""switch_type"":""Mechanical"",""button_count"":8,""battery_capacity"":"""",""shape"":""Ergonomic"",""rgb"":1,""software_support"":1}"
P005,KB75-GASKET-TM,ArcType 75 Gasket,mechanical_keyboard,active,32.0,40.0,USD,300,80,true,7,35,true,true,true,true,true,"CE,FCC,RoHS","EU,US,UK","{""layout"":""75%"",""key_count"":82,""connection_type"":""Tri-mode"",""switch_type"":""Custom"",""hot_swappable"":1,""mounting_structure"":""Gasket"",""keycap_material"":""PBT"",""keycap_profile"":""Cherry"",""case_material"":""Plastic"",""firmware_support"":""VIA"",""language_layout"":""ANSI-US,ISO-DE,ISO-UK"",""battery_capacity"":""4000mAh""}"
P006,KB65-AL-VIA,AlloyType 65,mechanical_keyboard,active,58.0,72.0,USD,200,50,true,8,40,true,true,true,true,true,"CE,FCC,RoHS","EU,US,UK,JP","{""layout"":""65%"",""key_count"":68,""connection_type"":""Tri-mode"",""switch_type"":""Custom"",""hot_swappable"":1,""mounting_structure"":""Gasket"",""keycap_material"":""PBT"",""keycap_profile"":""Cherry"",""case_material"":""Aluminum"",""firmware_support"":""VIA,QMK"",""language_layout"":""ANSI-US"",""battery_capacity"":""4000mAh""}"
P007,KBTKL-W-PBT,GridType TKL Wireless,mechanical_keyboard,active,27.0,34.0,USD,300,80,true,6,30,true,false,true,true,true,"CE,FCC,RoHS","EU,US,UK","{""layout"":""TKL"",""key_count"":87,""connection_type"":""Wireless"",""switch_type"":""Red,Brown,Blue"",""hot_swappable"":1,""mounting_structure"":""Tray"",""keycap_material"":""PBT"",""keycap_profile"":""OEM"",""case_material"":""Plastic"",""firmware_support"":""Proprietary"",""language_layout"":""ANSI-US,ISO-UK"",""battery_capacity"":""3000mAh""}"
P008,KB104-WIRED-RGB,CommandDeck 104,mechanical_keyboard,active,19.0,25.0,USD,300,100,true,5,25,true,false,true,true,true,"CE,FCC,RoHS","EU,US,UK","{""layout"":""Full-size"",""key_count"":104,""connection_type"":""Wired"",""switch_type"":""Red,Brown,Blue"",""hot_swappable"":0,""mounting_structure"":""Tray"",""keycap_material"":""ABS"",""keycap_profile"":""OEM"",""case_material"":""Plastic"",""firmware_support"":""Proprietary"",""language_layout"":""ANSI-US"",""battery_capacity"":""""}"
P009,HS50-24G-35H,AirComms 50 Wireless,gaming_headset,active,26.0,33.0,USD,300,80,true,5,28,true,true,true,true,true,"CE,FCC,RoHS","EU,US,UK","{""connection_type"":""2.4G,Bluetooth"",""driver_size"":""50mm"",""audio_channel"":""Virtual 7.1"",""microphone_type"":""Detachable"",""noise_reduction"":""ENC"",""battery_life"":""35h"",""platform_support"":""PC,PS5,Switch"",""weight_grams"":285,""rgb"":0,""ear_cushion_material"":""Fabric""}"
P010,HS40-USB-71,SignalCore USB 7.1,gaming_headset,active,13.0,17.0,USD,300,100,true,4,22,true,false,true,true,true,"CE,FCC,RoHS","EU,US,UK","{""connection_type"":""USB"",""driver_size"":""40mm"",""audio_channel"":""Virtual 7.1"",""microphone_type"":""Retractable"",""noise_reduction"":""Passive"",""battery_life"":"""",""platform_support"":""PC,PS5"",""weight_grams"":260,""rgb"":1,""ear_cushion_material"":""Protein Leather""}"
